"building.class.category","sale.price.n","gross.sqft","land.sqft","year.built"
"1 One Dwelling",829,1660,2900,1930
"1 One Dwelling",790,972,1950,1950
"1 One Dwelling",788,2520,2223,1930
"1 One Dwelling",750,1672,2417,1930
"1 One Dwelling",920,1836,2469,1940
"1 One Dwelling",40,1520,1112,1920
"1 One Dwelling",839,1462,2417,1925
"1 One Dwelling",854,2244,2417,1925
"1 One Dwelling",750,2756,2743,1924
"1 One Dwelling",699,1281,1440,1915
"1 One Dwelling",699,1708,2191,1935
"1 One Dwelling",1850,1575,5810,1950
"1 One Dwelling",1050,1600,3577,1920
"1 One Dwelling",738,1296,1800,1935
"1 One Dwelling",680,1156,1655,1951
"1 One Dwelling",1192,2288,3394,1920
"1 One Dwelling",745,1596,1198,1925
"1 One Dwelling",880,1530,998,1905
"1 One Dwelling",829,1530,1056,1905
"1 One Dwelling",880,1530,978,1905
"1 One Dwelling",950,2201,1933,1920
"1 One Dwelling",930,1496,2578,1950
"1 One Dwelling",855,1399,3867,1935
"1 One Dwelling",620,992,1760,1950
"1 One Dwelling",750,992,1844,1950
"1 One Dwelling",762,1204,1795,1930
"1 One Dwelling",670,928,1653,1945
"1 One Dwelling",920,1320,5940,1945
"2 Two Dwelling",1113.75,2160,2320,1930
"2 Two Dwelling",750,2160,2320,1930
"2 Two Dwelling",970,2160,2320,1930
"2 Two Dwelling",100,2496,1534,1931
"2 Two Dwelling",1150,2496,1917,1931
"2 Two Dwelling",850,1428,1547,1930
"2 Two Dwelling",720,1428,1547,1930
"2 Two Dwelling",868.6,1622,2103,1930
"2 Two Dwelling",480,2160,2320,1930
"2 Two Dwelling",769,1492,2058,1930
"2 Two Dwelling",880,1920,2167,1899
"2 Two Dwelling",1120.075,2480,3033,1930
"2 Two Dwelling",825,1401,2140,1960
"2 Two Dwelling",1480,2613,4833,1899
"2 Two Dwelling",714.75,2244,4833,1910
"2 Two Dwelling",1900,2868,6863,1915
"2 Two Dwelling",842.088,1584,2417,1930
"2 Two Dwelling",1580,3679,5800,1930
"2 Two Dwelling",1030,2720,1998,1940
"2 Two Dwelling",499,1496,1933,1925
"2 Two Dwelling",988,2018,1925,1955
"2 Two Dwelling",893,2108,2708,1925
"2 Two Dwelling",680,850,1659,1910
"2 Two Dwelling",900,2088,1806,1920
"2 Two Dwelling",1120,2080,2900,1925
"2 Two Dwelling",1150,2464,3383,1910
"2 Two Dwelling",810,1802,2078,1935
"2 Two Dwelling",1150,2709,2128,1950
"2 Two Dwelling",833,2048,1933,1935
"2 Two Dwelling",1090,2267,1933,1935
"2 Two Dwelling",1100,2354,1933,1945
"2 Two Dwelling",775,2620,2060,1950
"2 Two Dwelling",100,2074,5633,1920
"2 Two Dwelling",340,1470,1837,1920
"2 Two Dwelling",550,1740,1524,1930
"2 Two Dwelling",499.95,1740,1524,1930
"2 Two Dwelling",625,1464,1643,1930
"2 Two Dwelling",1460,3200,1353,1920
"2 Two Dwelling",950,2620,1937,1965
"2 Two Dwelling",615,2123,1837,1901
"2 Two Dwelling",1425,3326,5800,1910
"2 Two Dwelling",980,3092,2707,1960
"2 Two Dwelling",840,1729,2707,1955
"2 Two Dwelling",930,2128,2301,1950
"2 Two Dwelling",783,1849,1740,1950
"2 Two Dwelling",830,2300,2256,1950
"2 Two Dwelling",676,928,1649,1945
"2 Two Dwelling",980,2280,1920,1960
"2 Two Dwelling",980,2280,2328,1960
"2 Two Dwelling",900,2280,1937,1960
"2 Two Dwelling",800,1320,1758,1950
"2 Two Dwelling",845,1320,1688,1950
"2 Two Dwelling",850,1320,1802,1950
"2 Two Dwelling",150,1320,1690,1950
"2 Two Dwelling",750,1485,1800,1940
"2 Two Dwelling",788,1584,1547,1940
"2 Two Dwelling",600,1536,2134,1940
"2 Two Dwelling",920,1652,2002,1940
"2 Two Dwelling",700,1652,2002,1940
"2 Two Dwelling",863,1652,2090,1940
